Epoch	Train EM	Train F1	Dev EM	Dev F1
5	32.92055078291598	37.017257661609214	34.44840604026846	37.29121224832221
1	22.600987022482176	26.226649607019013	25.639681208053695	28.15352348993292
9	36.64016328520076	40.84265521233107	36.69253355704698	39.77055369127524
8	35.69122037409371	40.00648875891001	36.178691275167786	39.258598993288665
4	31.44915615670505	35.43905745445641	33.31585570469799	36.1036073825504
0	15.926399805032595	19.394580515445156	21.570889261744966	24.137269295302026
6	34.07969292633888	38.13106988362842	35.14052013422819	37.948510906040326
2	26.523182842868458	30.216231036373504	29.016359060402685	31.72850251677858
7	35.17333820751843	39.28683056114013	35.55998322147651	38.4924496644296
3	29.18570645220252	33.04482727106537	31.008808724832214	33.75807466442961
