Epoch	Train EM	Train F1	Dev EM	Dev F1
0	14.609711386792856	17.831279930653487	20.721476510067113	23.12929949664427
1	20.484290403717438	23.858791263446737	24.62248322147651	27.161598154362416
2	24.71756831649401	28.297679441815344	28.062080536912752	30.584626677852373
3	27.97174972644982	31.772804138068008	31.42827181208054	34.02202181208058
4	30.323570789103467	34.30174361597783	34.605704697986575	37.301593959731576
5	32.72228616901849	36.67200977675413	36.59815436241611	39.283137583892675
6	34.160378565033895	38.120475764163594	37.667785234899334	40.367449664429586
7	35.202000824203154	39.29081581901562	38.50671140939597	41.253775167785314
8	36.62872490088247	40.64574895908745	39.230285234899334	42.0177223154363
9	37.53676940785267	41.66186355174645	39.733640939597315	42.61073825503364
10	38.309815122706794	42.50731125037226	40.58305369127517	43.42669882550339
11	39.09849227664805	43.20813971664392	20.155201342281877	23.36461828859062
12	39.941168947435735	44.18197837177163	37.667785234899334	40.67942533557057
13	40.59058418950988	44.839124070994224	41.93582214765101	44.74056208053695
14	41.46168165863779	45.84672663455026	42.963506711409394	45.746749161073865
15	42.04146594477839	46.43188245157701	43.634647651006716	46.404886744966504
16	43.21382387631269	47.691179605234225	44.20092281879195	47.03806627516783
17	43.80071336203834	48.30093362322461	44.746224832214764	47.61430369127519
18	44.60075883531569	49.0374870330098	45.09228187919463	47.92690855704701
19	45.292805274900175	49.81178326299083	46.06753355704698	48.86304530201344
20	45.67648605249322	50.183172045301696	46.51845637583892	49.312604865771846
21	45.73332764917367	50.23261002401459	46.875	49.701656879194644
22	46.138324025521875	50.75511219110036	47.1371644295302	50.043414429530216
23	46.88294894203578	51.42118202100201	47.59857382550335	50.49685402684566
24	47.110315328757586	51.60613036620101	47.766359060402685	50.63097734899332
25	47.486890906765574	52.07629563314319	48.0494966442953	50.84500838926176
26	47.887624163362744	52.527291071605156	48.33263422818792	51.192638422818824
27	48.34519901664038	52.97601284619968	48.752097315436245	51.66862416107389
28	49.72787085589234	54.25909820806768	2.6111577181208054	5.893246644295299
29	49.332821758963206	53.91465234258328	25.346057046979865	28.21340184563763
30	49.307243040457	53.861761236872	41.10738255033557	43.84133808724836
31	49.79892285174291	54.44147447101686	45.92072147651007	48.833892617449706
32	49.79608077190888	54.47962939278852	48.018036912751676	50.928901006711435
33	50.31618138153501	54.95412883147787	48.80453020134228	51.718435402684605
34	50.60607352460531	55.27185914652242	49.45469798657718	52.42596476510071
35	50.867544869335376	55.532264711314546	49.57005033557047	52.542156040268495
36	51.23843628767533	55.83832828864058	49.6015100671141	52.64440016778526
37	51.29669892427279	55.899447215471156	49.85318791946309	52.93540268456376
38	51.255488766679456	55.91823336317421	49.70637583892618	52.78229865771815
39	51.44448707564195	56.036677040257054	49.63296979865772	52.65121644295303
40	53.728098222279066	58.38926546446579	2.8838087248322144	5.869442114093948
41	53.1028406587941	57.76339685381644	25.408976510067117	28.03701761744971
42	53.13268249705134	57.80433701382556	41.71560402684564	44.53429110738261
43	52.85842179306817	57.612283469041635	46.60234899328859	49.48101929530204
44	53.249207770246265	57.93579741654834	48.50041946308725	51.40457214765104
45	53.56325759190575	58.22813374827596	49.74832214765101	52.70322986577186
46	53.32168080601384	57.993036904405656	50.07340604026845	53.17051174496646
47	53.34868056443705	58.04034332324288	50.346057046979865	53.352453859060425
48	53.422574640121645	58.05739580224698	50.32508389261745	53.32487416107384
49	53.402680081283485	58.062881016326564	50.450922818791945	53.493183724832264
