Epoch	Train EM	Train F1	Dev EM	Dev F1
3	29.78650649698195	33.618253991852384	33.38926174496644	35.879928691275204
7	35.39888793077815	39.48049418691043	38.643036912751676	41.260696308724874
2	26.94983794713211	30.66101216139849	29.93917785234899	32.463926174496684
6	34.41319021141209	38.455874044779655	37.68875838926174	40.39219798657726
8	36.423240462668375	40.534075703963026	38.95763422818792	41.693267617449706
0	16.191906276946867	19.665591269959336	21.13045302013423	23.943057885906036
4	31.522999613451873	35.4483660908086	35.17197986577181	37.93424916107387
1	22.7468704469091	26.396256430079408	26.950503355704697	29.35213926174497
5	33.0587850495079	37.016948648567926	36.77642617449665	39.51688338926183
9	37.33906217477922	41.39802563111362	39.20931208053691	41.90792785234904
