Epoch	Train EM	Train F1	Dev EM	Dev F1
12	38.09580446611757	42.30981832238033	40.65645973154363	43.277160234899355
6	33.64604085516339	37.607192768576006	36.14723154362416	38.7774748322148
2	24.553239570634236	28.128482649936142	28.21937919463087	30.60171979865776
13	39.10974993309744	43.28724985876052	41.06543624161073	43.70427852348999
7	34.61241116826737	38.63679343462821	37.64681208053691	40.26394714765105
3	27.785376587077398	31.56488061609799	31.742869127516776	34.23280201342287
9	36.335523772709706	40.47346198447801	39.03104026845637	41.70721476510072
11	37.81184026642086	41.96237102673048	40.499161073825505	43.13391359060403
5	31.869406202610683	35.7634622818229	35.297818791946305	37.896287751677896
15	40.10288127025661	44.35248728851285	42.197986577181204	44.85056627516784
1	21.083226784811632	24.659822782551867	24.695889261744966	27.11933724832217
10	37.28702685022747	41.44317742558863	39.99580536912752	42.61944211409401
4	30.015461925009664	33.86228479676463	33.39974832214765	36.031984060402735
14	39.34019208468377	43.55151497130539	41.65268456375839	44.345322986577216
0	15.396509173084358	18.814977253129655	20.784395973154364	23.602873322147655
8	35.33049864708156	39.40553358508464	38.47525167785235	41.07864932885911
