Epoch	Train EM	Train F1	Dev EM	Dev F1
9	34.05488983378431	37.95719722874672	35.192953020134226	38.05253775167794
5	29.30332134042996	33.05725372424234	32.48741610738255	35.02621644295308
1	19.21144182450715	22.519119264964015	23.269714765100673	25.709207214765144
4	27.755642115904966	31.456766078915244	30.190855704697988	32.71843540268461
0	14.308227528173411	17.415494632928127	19.34773489932886	22.225461409396015
8	33.06473194374238	36.88083910677605	34.80494966442953	37.554635067114155
6	30.895602271713596	34.73679046118134	33.03271812080537	35.694630872483245
2	23.078409800481698	26.64340935446471	25.10486577181208	27.460989932885933
7	31.928875144955548	35.803172668073756	33.955536912751676	36.636220637583975
3	25.477981624096813	29.055350718087347	27.9991610738255	30.470532718120847
