Epoch	Train EM	Train F1	Dev EM	Dev F1
3	26.96642905014318	30.649698409797	29.20511744966443	31.678586409396008
7	32.535185523670265	36.49474501919177	32.72860738255034	35.464240771812136
2	24.664899774568937	28.35337841954553	26.856124161073826	29.3183724832215
6	31.446109791019317	35.27101992323118	32.09941275167785	34.693162751677896
0	14.764211295923962	18.01972521781527	18.666107382550333	21.278418624161063
4	28.530737829769087	32.277996100651706	30.3376677852349	32.972525167785285
8	33.37445927009078	37.365959909827076	33.29488255033557	36.10580956375846
9	34.14518978858222	38.22061780296072	33.69337248322148	36.47640520134235
1	20.692438920368	24.22137939438266	24.25545302013423	26.91359060402686
5	30.140742094681045	34.02523913970612	31.3758389261745	33.88118708053699
