Epoch	Train EM	Train F1	Dev EM	Dev F1
0	0.0	0.0	0.1331779590477776	0.1331779590477776
1	0.0	0.0	0.2996504078574996	0.3079740302979857
2	0.0	0.0	0.4827701015481938	0.5022473780589313
3	10.526315789473683	10.526315789473683	1.2318961211919428	1.2402197436324287
4	0.0	0.0	2.8966206092891627	2.91043782254037
5	0.0	0.0	3.229565506908607	3.246212751789579
6	0.0	0.0	2.929915099051107	2.9520559347428
7	21.052631578947366	21.052631578947366	3.02979856833694	3.0519394040286336
8	0.0	0.0	3.3960379557183282	3.412685200599301
9	0.0	0.0	3.3960379557183282	3.404361578158815
